Company,Y-Column,Model,Method,RMSE,MAE,MSE,r2_score
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext12Months,Ridge Regression,RidgeFICoefficients0.1,0.0695579164991191,0.0404882502784879,0.0048383037476984,0.6968969942962511
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext12Months,Elastic Net Regression,ElasticFIPValue0.02,0.0711006713224453,0.0362103919356072,0.0050553054625023,0.6833025869523057
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext12Months,Lasso Regression,LassoFIPValue0.1,0.0729681627091423,0.0519617867727581,0.0053243527691478,0.6664477031803774
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext12Months,Linear Regression,LinearFIPValue0.02,0.0732269230808079,0.0397348086202643,0.0053621822638825,0.6640778160967498
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0750753484870249,0.0523575218953273,0.0056363079504482,0.6469047893767583
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0243794257414194,0.0163706489181174,0.0005943563994813,0.8547808962859967
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext1Months,Linear Regression,LinearFICoefficients0.1,0.0359403288386406,0.0236667235877595,0.0012917072370296,0.6843971607170218
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext1Months,Lasso Regression,LassoFIBackwardElimination,0.0359562536553505,0.025281743668492,0.0012928521769279,0.684117417542756
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext1Months,Elastic Net Regression,ElasticFICoefficients0.1,0.0359906798205134,0.0236802421275561,0.0012953290339427,0.6835122470490403
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext1Months,Ridge Regression,RidgeFIBackwardElimination,0.0361074096857212,0.0242904198326953,0.0013037450342125,0.6814559656375777
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext24Months,Ridge Regression,RidgeFIFValue1,0.097493875740666,0.0784452062678364,0.0095050558069364,0.3695703602368546
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext24Months,Linear Regression,LinearFIBackwardElimination,0.0976534358054555,0.0807437915655324,0.0095361935246102,0.3675051287921513
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext24Months,Elastic Net Regression,ElasticFIFValue1000,0.0978209545322233,0.0775469836976995,0.0095689391455953,0.3653332520077584
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext24Months,Lasso Regression,LassoFIFValue1000,0.1039267781466924,0.0753628607761267,0.0108007752159518,0.2836308416425932
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.1463325405211862,0.1058751950667473,0.0214132124153846,-0.420246662765642
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0399929635605362,0.0236667575099125,0.0015994371343543,0.8584703095211232
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext3Months,Ridge Regression,RidgeFICoefficients0.1,0.0573761556115807,0.037425602934002,0.0032920232327643,0.7086981293763217
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext3Months,Lasso Regression,LassoFIForwardSelection,0.062413824279556,0.0396056176747255,0.0038954854611992,0.6552994551980024
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext3Months,Elastic Net Regression,ElasticFICoefficients0.1,0.0625573778202372,0.0389253753724939,0.0039134255197439,0.6537119899088358
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext3Months,Linear Regression,LinearFICoefficients0.1,0.0639589784338494,0.040107122700233,0.0040907509223016,0.6380209641104597
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0533174038190168,0.0328271392977554,0.0028427455500001,0.8404326760724042
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext6Months,Ridge Regression,RidgeFICoefficients0.1,0.0602827316496585,0.0345080851844085,0.0036340077351447,0.7960180117319304
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext6Months,Lasso Regression,LassoFICoefficients0.1,0.0605983368950328,0.0352778729586314,0.0036721584344439,0.7938765590812935
500008-AMARA RAJA BATTERIES LTD.,LowerBandInNext6Months,Elastic Net Regression,ElasticFIPValue0.1,0.0623307599252357,0.0409501308824286,0.0038851236328573,0.7819225216189729
