Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
Tata Consultancy Services Ltd.,532540,270,0.025566577025232393,-0.028474770127483465,0.0721580211423577,0.0248385746214923 to 0.027411410630756826
Bank Of Baroda,532134,270,0.025468642857142853,-0.36021505124966446,0.2631622011401448,0.01629445436509774 to 0.0321710269714808
Chambal Fertilisers & Chemicals Ltd.,500085,270,0.022737242219215144,-0.11672297162009204,0.06381010602696667,0.020083283740942537 to 0.024188108055984085
Bharti Airtel Ltd.,532454,270,0.022724414569536416,-0.05212315351325225,0.08412023069480809,0.021539946420429685 to 0.02463599756553028
Gateway Distriparks Ltd.,532622,270,0.022631296791443847,-0.2438449384566888,0.1386311339864929,0.017112769618139165 to 0.025768699129226587
Dilip Buildcon Ltd.,540047,270,0.021611912408759114,-0.03485075391387965,0.10553992807845745,0.020858720967793128 to 0.023892832090017472
Punjab National Bank,532461,270,0.021394227272727266,-0.12994420867363313,0.269524905547676,0.018614171339588863 to 0.027160504357674597
Solar Industries India Ltd.,532725,270,0.020927033377837117,-0.06031199961263326,0.1315224549460223,0.019664882148859444 to 0.023679408182427603
APL Apollo Tubes Ltd.,533758,270,0.020612888124156563,-0.13090103969585992,0.1471283044253696,0.017914639637570028 to 0.023645627403173552
Havells India Ltd.,517354,270,0.01957767065073041,-0.1605540068747936,0.14605858878446626,0.016434397182480593 to 0.022437157597663158
Blue Star Ltd.,500067,270,0.01889656875834446,-0.13576158551734527,0.19639356908699146,0.016331140622874083 to 0.022607733340293465
Cadila Healthcare Ltd.,532321,270,0.018602567243675098,-0.06154181893289038,0.08175774314988656,0.017457731418677926 to 0.020123471158311982
Poly Medicure Ltd.,531768,270,0.01812379183673469,-0.1255932790825312,0.08994062728836905,0.01584756539054997 to 0.019753857043374432
Tata Metaliks Ltd.,513434,270,0.01584272684563759,-0.20973258899314073,0.21768558204471497,0.012519990727590883 to 0.01929146006020564
GMM Pfaudler Ltd.,505255,270,0.015474870121130538,-0.051165354323350815,0.06624818262938115,0.01468309290827506 to 0.01650005214308115
Balkrishna Industries Ltd.,502355,270,0.015101024032042712,-0.13306749752643934,0.24110736992375273,0.013091568554012167 to 0.018741992219563915
Schaeffler India Ltd.,505790,270,0.015069112751677863,-0.19843886884813516,0.06789936706483259,0.0120788150626899 to 0.016092295969745388
