Company,Security Id,Average Returns %
NMDC Ltd.,526371,0.0
Mphasis Ltd.,526299,0.0
Natco Pharma Ltd.,524816,0.0
Aurobindo Pharma Ltd.,524804,0.0
Caplin Point Laboratories Ltd.,524742,0.0
Sun Pharmaceutical Inds. Ltd.,524715,0.0
Ipca Laboratories Ltd.,524494,0.0
Aarti Drugs Ltd.,524348,0.0
Rashtriya Chemicals & Fertilizers Ltd.,524230,0.0
Aarti Industries Ltd.,524208,0.0
Vinati Organics Ltd.,524200,0.0
IOL Chemicals & Pharmaceuticals Ltd.,524164,0.0
PI Industries Ltd.,523642,0.0
ITI Ltd.,523610,0.0
Avanti Feeds Ltd.,512573,0.0
Tata Metaliks Ltd.,513434,0.0
Tata Motors DVR,570001,0.0
Wipro Ltd.,507685,0.0
GMM Pfaudler Ltd.,505255,0.0
Nesco Ltd.,505355,0.0
Navneet Education Ltd.,508989,0.0
Apollo Hospitals Enterprise Ltd.,508869,0.0
Hawkins Cookers Ltd.,508486,0.0
VIP Industries Ltd.,507880,0.0
Responsive Industries Ltd.,505509,0.0
Gillette India Ltd.,507815,0.0
Westlife Development Ltd.,505533,0.0
Jai Corp Ltd.,512237,0.0
Zee Entertainment Enterprises Ltd.,505537,0.0
Schaeffler India Ltd.,505790,0.0
JB Chemicals & Pharmaceuticals Ltd.,506943,0.0
Astrazeneca Pharma India Ltd.,506820,0.0
Alkyl Amines Chemicals Ltd.,506767,0.0
Sudarshan Chemical Inds. Ltd.,506655,0.0
Phillips Carbon Black Ltd.,506590,0.0
IFB Industries Ltd.,505726,0.0
Deepak Nitrite Ltd.,506401,0.0
Coromandel International Ltd.,506395,0.0
Bayer CropScience Ltd.,506285,0.0
Bliss GVS Pharma Ltd.,506197,0.0
Berger Paints India Ltd.,509480,0.0
Graphite India Ltd.,509488,0.0
Eicher Motors Ltd.,505200,0.0
Garware Technical Fibres Ltd.,509557,0.0
Sunteck Realty Ltd.,512179,0.0
UPL Ltd.,512070,0.0
Tata Investment Corpn. Ltd.,501301,0.0
Vakrangee Ltd.,511431,0.0
Bombay Burmah Trdg. Corpn. Ltd.,501425,0.0
Cholamandalam Investment & Finance Co. Ltd.,511243,0.0
Greaves Cotton Ltd.,501455,0.0
Balkrishna Industries Ltd.,502355,0.0
