Predicted Values,Actual Values
[0.00519062],[0.01299807]
[6.595555e-05],[0.00668376]
[-0.00996144],[0.02101105]
[-0.00011826],[-0.02929548]
[-0.00195829],[-0.00612849]
[-0.00159108],[-0.03533838]
[0.00176276],[0.00979531]
[-9.377253e-08],[0.00492426]
[0.00255456],[-0.01172904]
[-0.00324825],[0.01057507]
[-0.00057636],[0.00605438]
[-0.00026337],[-0.00307351]
[-0.00194015],[-0.0666821]
[0.00057868],[0.00311952]
[0.0010398],[0.00297255]
[-2.2724045e-05],[0.01323154]
[-0.00236499],[0.01538323]
[-0.00033061],[-0.01811708]
[-0.00215612],[0.00347327]
[0.00100452],[0.10165887]
[-0.00289208],[-0.02212254]
[-0.0010945],[0.0420205]
[-0.00049321],[0.00384118]
[0.00099862],[0.01076512]
[-0.00086702],[-0.03487088]
[-0.00232698],[-0.00499411]
[-0.00064439],[-0.01018294]
[-0.00211337],[-0.01968755]
[-0.00067862],[-0.02523161]
[-0.00198902],[-0.00467392]
[0.00063738],[-0.04264619]
[-0.00084642],[0.01765605]
[0.00065029],[0.00054963]
[-0.00696233],[-0.01229796]
[0.00156657],[0.00326021]
[0.00140005],[0.05984573]
[1.0648739e-05],[0.01017953]
[-0.0078507],[0.05058022]
[-0.0017698],[-0.09434869]
[-0.00131369],[0.03460926]
[0.00085543],[-0.0025665]
[0.0001679],[-0.00041905]
[-0.00384526],[-0.01187259]
[0.00033912],[-0.00484653]
[-1.672476e-05],[0.09268353]
[-0.0002277],[-0.01643517]
[-0.00090663],[0.01079055]
[-0.0017456],[0.0267699]
[0.00107525],[0.01542744]
[0.00180984],[-0.04274333]
[0.00130823],[0.02355391]
[-0.0030636],[-0.00788294]
[0.00214048],[0.03918622]
[-0.00247635],[-0.00558182]
[-0.00048164],[0.01078658]
[-0.00127612],[-0.014069]
[-0.00161695],[0.01369233]
[-0.0001048],[-0.02373338]
[-0.00314161],[-0.00806402]
[0.00016574],[-0.02602826]
[-0.00024806],[0.00205081]
[0.00094843],[0.00105453]
[-0.00282815],[0.00961794]
[0.00011852],[0.02079844]
[-0.00661553],[-0.00832455]
[-0.00150442],[0.00758842]
[-0.00053446],[-0.00189026]
[0.00012731],[-0.01600709]
[0.00023608],[-0.0064208]
[0.00071045],[0.01428061]
[-0.00066254],[-0.00119075]
[-0.00179262],[0.00168057]
[-0.00568976],[0.02079437]
[-0.00871451],[0.02131406]
[-0.00025865],[0.02403051]
[-0.00419934],[-0.01689551]
[-0.00080636],[-0.00280339]
[-0.00081908],[-0.03091422]
[0.00084874],[-0.00919007]
[0.00206244],[0.00707835]
[0.00067262],[0.01240458]
[-0.00079407],[0.02551227]
[0.00505332],[0.02248705]
[0.00061276],[-0.01734476]
[-0.00082781],[0.01825739]
[0.0009084],[-0.01142357]
[-0.00577901],[-0.02699755]
[1.7359049e-05],[0.0019033]
[0.00113404],[0.05011414]
[0.00083518],[-0.00318968]
[-0.00039411],[0.00334114]
[-0.00084685],[0.00950191]
[-0.00112191],[-0.02823137]
[-0.00025613],[-0.01151079]
[0.00078634],[0.02388795]
[0.0016564],[-0.00591272]
[-0.00079463],[0.01072809]
[-0.00023595],[-0.01026604]
[-0.00194941],[0.00868626]
[0.00088798],[0.01012902]
[-0.00459187],[0.01955864]
[-0.00043414],[-0.0049332]
[-0.00055197],[0.02226087]
[-0.00048342],[0.01144685]
[-0.0011833],[0.00290946]
[-0.00346784],[0.00596118]
[0.00345498],[-0.01753895]
[0.0008516],[-0.00302083]
[-0.00064421],[-0.00547081]
[-0.00053648],[-0.00588681]
[-0.0006451],[0.03438196]
[0.00018542],[-0.00686528]
[-0.00233693],[0.00193266]
[-0.00017242],[-0.00482882]
[0.00282413],[0.01289414]
[0.00022213],[0.07869086]
[-0.00168863],[0.0192528]
[5.3719712e-05],[-0.00430787]
[-5.4482075e-06],[-0.02058265]
[-0.00148147],[0.00502153]
[0.00021129],[0.00050799]
[0.00122032],[-0.01441872]
[-0.00721372],[0.00450642]
[-0.0005299],[-0.00669329]
[-0.00064085],[-0.00332458]
[-0.00459241],[-0.02131363]
